-425.347928672,-3405.66635338,-3557.2870727,-3560.93157348,-3560.98732726,-3560.99304481,-3560.99430203,-3560.99462994,-3560.99471731,-3560.99474064,-3560.99474688
-431.07472974,-3348.87876823,-3520.22504606,-3524.50103056,-3524.82677035,-3524.85162563,-3524.85334162,-3524.85346839,-3524.8534787,-3524.8534796,-3524.85347968
-443.899917471,-3431.42714709,-3595.4464881,-3595.65556592,-3595.66259267,-3595.66323128,-3595.66330174,-3595.66331,-3595.66331098,-3595.6633111,-3595.66331111
-434.999206854,-3537.05249974,-3723.41126423,-3723.79864928,-3723.79898226,-3723.79898169,-3723.79898173,-3723.79898173,-3723.79898173,-3723.79898173,-3723.79898173
-433.090419594,-3424.19855825,-3605.58014824,-3606.36034143,-3606.3565806,-3606.35637878,-3606.35636459,-3606.35636409,-3606.35636407,-3606.35636407,-3606.35636407
-405.359545912,-3355.73336985,-3518.68224056,-3525.84352724,-3527.02667292,-3527.20579033,-3527.22900133,-3527.23194441,-3527.2323168,-3527.23236392,-3527.23236989
-402.193095278,-3559.74132901,-3760.98099157,-3761.40624746,-3761.39819031,-3761.39394479,-3761.39271886,-3761.39237927,-3761.39228558,-3761.39225974,-3761.39225261
-438.726127857,-3419.93175663,-3571.75723812,-3573.78234958,-3573.88538714,-3573.89054071,-3573.89081422,-3573.89083082,-3573.89083244,-3573.89083273,-3573.8908328
-448.34716004,-3578.36819467,-3763.31308481,-3766.13966956,-3766.19966225,-3766.20143477,-3766.20149099,-3766.20149279,-3766.20149285,-3766.20149285,-3766.20149285
-416.275132722,-3442.48786934,-3604.89782603,-3606.87137587,-3606.97023893,-3606.98231282,-3606.98486976,-3606.98550999,-3606.98567644,-3606.98572028,-3606.98573189
