Row Description,Noisy bit 0,Noisy bit 1,Noisy bit 2,Noisy bit 3,Noisy bit 4,Noisy bit 5,Noisy bit 6,Noisy bit 7,Noisy bit 8,Noisy bit 9,Noisy bit 10,Noisy bit 11,Noisy bit 12,Noisy bit 13,Noisy bit 14
Image 0 Row,21,3,10,27,19,24,7,0,25,6,7,15,14,17,23
Image 0 Column,17,17,22,9,20,5,2,3,12,26,5,24,6,23,3
Image 1 Row,26,9,4,0,20,5,23,3,14,21,15,2,15,3,27
Image 1 Column,17,3,20,22,6,24,18,10,20,8,21,20,24,1,7
Image 2 Row,13,24,24,11,0,11,26,18,12,12,17,8,20,0,6
Image 2 Column,27,1,21,3,13,26,24,25,10,20,7,16,26,0,5
Image 3 Row,10,16,25,15,27,7,26,13,24,15,12,13,21,20,24
Image 3 Column,3,22,6,12,23,3,19,8,11,25,24,1,8,26,23
Image 4 Row,6,14,23,16,7,7,17,24,3,26,3,5,10,7,4
Image 4 Column,9,22,17,12,14,5,15,26,11,8,16,7,26,13,20
Image 5 Row,9,13,14,20,26,23,18,5,17,9,14,22,24,2,20
Image 5 Column,27,5,20,25,20,26,9,11,13,8,25,0,2,25,24
Image 6 Row,20,15,8,22,19,2,27,14,11,17,12,5,18,25,12
Image 6 Column,12,16,15,11,4,23,2,13,20,7,4,20,17,3,6
Image 7 Row,3,8,23,9,10,16,26,18,15,23,9,20,14,21,1
Image 7 Column,20,7,8,25,14,25,9,18,7,7,15,2,9,3,12
Image 8 Row,18,24,2,0,27,14,13,20,18,8,16,12,15,4,22
Image 8 Column,24,4,7,10,15,19,20,27,15,26,10,3,9,25,13
Image 9 Row,7,26,16,12,27,0,16,9,25,23,15,9,14,24,9
Image 9 Column,15,12,13,8,6,18,16,14,22,11,1,25,15,10,11
Image 10 Row,14,7,20,27,20,11,17,13,25,27,10,1,5,21,27
Image 10 Column,0,12,4,23,8,13,0,10,6,17,24,23,17,16,16
Image 11 Row,9,18,23,20,4,1,4,9,18,9,0,0,25,10,15
Image 11 Column,23,5,19,15,21,27,12,11,8,2,26,25,11,1,1
Image 12 Row,23,21,20,7,6,15,12,12,8,9,13,2,14,15,1
Image 12 Column,14,6,24,8,13,7,16,23,2,3,8,11,9,1,19
Image 13 Row,25,11,5,4,16,1,0,1,1,9,20,19,14,17,27
Image 13 Column,12,21,22,8,20,15,17,14,11,14,19,17,3,27,26
Image 14 Row,3,7,0,5,7,3,18,2,1,20,10,16,7,20,24
Image 14 Column,25,25,20,21,11,8,27,7,0,8,23,15,19,25,25
Image 15 Row,17,26,3,7,24,7,23,14,14,14,25,18,27,20,17
Image 15 Column,17,15,10,12,8,10,1,5,4,6,7,25,17,14,19
Image 16 Row,23,5,17,14,20,21,15,8,11,23,5,13,22,24,10
Image 16 Column,17,2,14,26,12,23,8,6,11,3,26,24,8,14,13
Image 17 Row,24,9,16,24,20,20,26,8,12,18,16,9,11,14,22
Image 17 Column,23,16,4,20,22,20,6,18,4,23,26,6,10,13,2
Image 18 Row,4,19,1,6,19,12,19,17,9,0,15,6,3,19,16
Image 18 Column,8,24,6,9,21,16,19,22,9,20,12,17,25,22,8
Image 19 Row,19,18,19,8,5,12,19,9,0,8,15,3,3,1,23
Image 19 Column,2,6,9,7,7,13,8,0,26,13,2,23,4,14,11
